immigSelf,redistSelf,survey,immigEcon_mymedian,immigCultural_mymedian,immigSelf_mymedian,immigCon_mymedian,immigLab_mymedian,immigLD_mymedian,immigSNP_mymedian,immigPC_mymedian,immigUKIP_mymedian,immigGreen_mymedian,immigrantsWelfareState_mymedian,immigExpDV_mymedian,immigManipCheck_mymedian,immigManipCheck2_mymedian,immigrationLevel_mymedian,immigContributeTake_mymedian,immigTIG_mymedian,immigbrexit_mymedian,immigBrexit_mymedian,redistSelf_mymedian,redistCon_mymedian,redistLab_mymedian,redistLD_mymedian,redistUKIP_mymedian,redistSNP_mymedian,redistPC_mymedian,redistGreen_mymedian,redistTIG_mymedian,redistBrexit_mymedian,immigLefty,immigDistPC,redistDistPC,distPC,immigDistCon,redistDistCon,distCon,immigDistGreen,redistDistGreen,distGreen,immigDistSNP,redistDistSNP,distSNP,immigDistUKIP,redistDistUKIP,distUKIP,immigDistLD,redistDistLD,distLD,immigDistLab,redistDistLab,distLab,immigDistBrexit,redistDistBrexit,distBrexit,immigDistTIG,redistDistTIG,distTIG
2.0,4.0,BES2015_W10_v24.0.sav,4.0,3.0,2.0,4.0,7.0,7.0,6.0,5.5,0.0,6.0,4.0,,,,,,,,,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,,,8.0,-3.5,0.0,3.5,-2.0,-1.0,2.23606797749979,-4.0,0.0,4.0,-4.0,0.0,4.0,2.0,-1.0,2.23606797749979,-5.0,0.0,5.0,-5.0,1.0,5.0990195135927845,,,,,,
2.0,7.0,BES2015_W10_v24.0.sav,4.0,3.0,2.0,4.0,8.0,8.0,9.0,8.0,0.0,8.0,4.0,,,,,,,,,7.0,7.0,3.0,4.0,6.0,3.0,3.0,4.0,,,8.0,-6.0,4.0,7.211102550927978,-2.0,0.0,2.0,-6.0,3.0,6.708203932499369,-7.0,4.0,8.06225774829855,2.0,1.0,2.23606797749979,-6.0,3.0,6.708203932499369,-6.0,4.0,7.211102550927978,,,,,,
0.0,0.0,BES2015_W10_v24.0.sav,2.0,1.0,0.0,4.0,7.0,7.0,8.0,7.0,0.0,5.0,4.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.0,-7.0,0.0,7.0,-4.0,0.0,4.0,-5.0,0.0,5.0,-8.0,0.0,8.0,0.0,0.0,0.0,-7.0,0.0,7.0,-7.0,0.0,7.0,,,,,,
3.0,10.0,BES2015_W10_v24.0.sav,4.0,4.0,3.0,4.0,8.0,9.0,10.0,5.0,0.0,9.0,3.0,,,,,,,,,10.0,8.0,2.0,4.0,8.0,4.0,10.0,2.0,,,7.0,-2.0,0.0,2.0,-1.0,2.0,2.23606797749979,-6.0,8.0,10.0,-7.0,6.0,9.219544457292887,3.0,2.0,3.605551275463989,-6.0,6.0,8.48528137423857,-5.0,8.0,9.433981132056603,,,,,,
0.0,8.0,BES2015_W10_v24.0.sav,3.0,1.0,0.0,3.0,9.0,10.0,10.0,8.0,0.0,9.0,4.0,,,,,,,,,8.0,7.0,2.0,4.0,7.0,4.0,3.5,3.0,,,10.0,-8.0,4.5,9.17877987534291,-3.0,1.0,3.1622776601683795,-9.0,5.0,10.295630140987,-10.0,4.0,10.770329614269007,0.0,1.0,1.0,-10.0,4.0,10.770329614269007,-9.0,6.0,10.816653826391969,,,,,,
9999.0,9999.0,BES2015_W10_v24.0.sav,4.0,4.0,,3.0,7.0,7.0,8.0,,0.0,8.0,3.0,,,,,,,,,,7.0,3.0,3.5,10.0,4.0,,4.0,,,-9989.0,,,,9996.0,9992.0,14133.65062536923,9991.0,9995.0,14132.236411835178,9991.0,9995.0,14132.236411835178,9999.0,9989.0,14133.65211118485,9992.0,9995.5,14133.297005652998,9992.0,9996.0,14133.65062536923,,,,,,
5.0,3.0,BES2015_W10_v24.0.sav,6.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,0.0,6.0,2.0,,,,,,,,,3.0,8.0,3.0,4.0,9.0,3.0,3.0,3.0,,,5.0,0.0,0.0,0.0,2.0,-5.0,5.385164807134504,-1.0,0.0,1.0,-1.0,0.0,1.0,5.0,-6.0,7.810249675906654,0.0,-1.0,1.0,0.0,0.0,0.0,,,,,,
0.0,7.0,BES2015_W10_v24.0.sav,3.0,1.0,0.0,3.0,9.0,10.0,10.0,7.0,0.0,8.0,4.0,,,,,,,,,7.0,7.0,3.0,4.0,7.0,3.0,5.0,4.0,,,10.0,-7.0,2.0,7.280109889280518,-3.0,0.0,3.0,-8.0,3.0,8.54400374531753,-10.0,4.0,10.770329614269007,0.0,0.0,0.0,-10.0,3.0,10.44030650891055,-9.0,4.0,9.848857801796104,,,,,,
1.0,7.0,BES2015_W10_v24.0.sav,3.0,2.0,1.0,3.5,8.0,8.0,9.0,7.5,0.0,7.0,4.0,,,,,,,,,7.0,6.0,2.0,4.0,6.0,3.0,4.0,3.0,,,9.0,-6.5,3.0,7.158910531638177,-2.5,1.0,2.692582403567252,-6.0,4.0,7.211102550927978,-8.0,4.0,8.94427190999916,1.0,1.0,1.4142135623730951,-7.0,3.0,7.615773105863909,-7.0,5.0,8.602325267042627,,,,,,
3.0,5.0,BES2015_W10_v24.0.sav,4.0,4.0,3.0,4.0,7.0,7.0,7.0,6.0,0.0,7.0,3.0,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,7.0,-3.0,0.0,3.0,-1.0,0.0,1.0,-4.0,0.0,4.0,-4.0,0.0,4.0,3.0,0.0,3.0,-4.0,0.0,4.0,-4.0,0.0,4.0,,,,,,
9.0,1.0,BES2015_W10_v24.0.sav,6.0,7.0,9.0,2.0,7.0,7.0,8.0,,0.0,8.0,1.0,,,,,,,,,1.0,9.0,2.0,4.0,10.0,1.5,,1.0,,,1.0,,,,7.0,-8.0,10.63014581273465,1.0,0.0,1.0,1.0,-0.5,1.118033988749895,9.0,-9.0,12.727922061357855,2.0,-3.0,3.605551275463989,2.0,-1.0,2.23606797749979,,,,,,
2.0,10.0,BES2015_W10_v24.0.sav,4.0,3.0,2.0,3.0,9.0,9.0,9.0,6.0,0.0,9.0,4.0,,,,,,,,,10.0,8.0,2.0,3.0,8.0,3.0,0.5,2.0,,,8.0,-4.0,9.5,10.307764064044152,-1.0,2.0,2.23606797749979,-7.0,8.0,10.63014581273465,-7.0,7.0,9.899494936611665,2.0,2.0,2.8284271247461903,-7.0,7.0,9.899494936611665,-7.0,8.0,10.63014581273465,,,,,,
5.0,5.0,BES2015_W10_v24.0.sav,5.0,5.0,5.0,4.0,5.0,5.0,7.0,5.0,0.0,5.0,3.0,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
5.0,8.0,BES2015_W10_v24.0.sav,5.0,5.0,5.0,4.0,6.0,6.0,7.0,5.0,0.0,6.0,2.0,,,,,,,,,8.0,7.0,3.0,5.0,7.0,5.0,8.0,4.0,,,5.0,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,-1.0,4.0,4.123105625617661,-2.0,3.0,3.605551275463989,5.0,1.0,5.0990195135927845,-1.0,3.0,3.1622776601683795,-1.0,5.0,5.0990195135927845,,,,,,
5.0,1.0,BES2015_W10_v24.0.sav,6.0,6.0,5.0,3.0,5.0,5.0,7.0,6.0,0.0,5.0,2.0,,,,,,,,,1.0,8.0,2.0,4.0,9.0,3.0,2.5,2.0,,,5.0,-1.0,-1.5,1.8027756377319946,2.0,-7.0,7.280109889280518,0.0,-1.0,1.0,-2.0,-2.0,2.8284271247461903,5.0,-8.0,9.433981132056603,0.0,-3.0,3.0,0.0,-1.0,1.0,,,,,,
